pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
OGLE-2016-BLG-1227L b,1.240,0.79000,,
Kepler-276 c,0.259,0.05200,31.88400000,5779.00
Kepler-829 b,0.188,0.01600,6.88337562,5698.00
K2-283 b,0.314,0.03830,1.92103600,5060.00
Kepler-477 b,0.185,0.01550,11.11990653,5240.00
TOI-1260 c,0.246,0.04153,7.49313400,4227.00
HD 149143 b,1.220,1.33000,4.07182000,5856.00
HD 210702 b,1.200,1.80800,354.10000000,4951.00
HIP 12961 b,1.180,0.36000,57.43500000,3901.00
HD 11755 b,1.140,5.63000,433.70001000,4312.00
HD 29985 b,1.140,5.47300,20608.14049000,4678.00
HD 115954 b,1.120,8.45000,3700.00000000,5957.00
HIP 97233 b,1.080,19.18700,1062.26506000,5020.00
HD 95872 b,1.160,3.74000,4375.00000000,5312.00
OGLE-2015-BLG-0966L b,0.433,0.06600,,
WASP-49 b,1.110,0.37000,2.78174000,5600.00
WASP-56 b,0.940,0.45000,4.61710000,5600.00
WASP-47 c,1.210,1.57000,588.80000000,5552.00
TOI-1470 b,0.194,0.02303,2.52709300,3709.00
V1298 Tau b,0.916,0.64000,24.13960000,5050.00
HD 22946 d,0.233,0.08360,47.42489000,6169.00
HAT-P-23 b,1.368,2.09000,1.21288400,5905.00
tau Cet e,0.161,0.01237,162.87000000,5310.00
K2-254 c,0.195,0.01710,12.11839000,4629.00
EPIC 220554210 c,0.143,0.01000,0.70531000,5499.00
NSVS 14256825 b,1.100,14.15000,3225.00000000,40000.00
Kepler-1390 b,0.105,0.00553,6.48021673,5753.00
Kepler-393 c,0.119,0.00733,14.61361200,6189.00
Kepler-263 c,0.220,0.02100,47.33277300,5265.00
Kepler-1431 b,0.131,0.00869,5.86601526,5806.00
Kepler-237 c,0.186,0.01570,8.10363600,4861.00
Kepler-1510 b,0.300,0.03540,84.70392100,6200.00
Kepler-169 e,0.196,0.01720,13.76710200,4997.00
Kepler-145 c,0.385,0.25000,42.88200000,6022.00
Kepler-219 c,0.319,0.03940,22.71461300,5786.00
Kepler-910 b,0.073,0.00150,2.36436901,6230.00
Kepler-1037 b,0.114,0.00687,1.06378867,5105.00
Kepler-992 b,0.145,0.01020,20.16034462,4944.00
Kepler-113 b,0.162,0.03700,4.75400000,4725.00
Kepler-1097 b,0.291,0.03360,187.74702900,5211.00
Kepler-382 b,0.118,0.00724,5.26215500,5600.00
Kepler-1310 b,0.128,0.00839,0.67933627,5549.00
42 Dra b,1.160,3.88000,479.10000000,4200.00
61 Vir c,0.398,0.05700,38.02100000,5577.00
Kepler-57 b,0.195,0.36183,5.72931960,5145.00
70 Vir b,1.130,7.49000,116.68800000,5495.00
Kepler-255 c,0.267,0.02900,9.94604700,5573.00
K2-111 c,0.297,0.03486,15.68050000,5775.00
Kepler-107 d,0.077,0.02423,7.95839000,5854.00
LP 791-18 d,0.092,0.00283,2.75343600,2960.00
KMT-2016-BLG-2605L b,1.250,0.77100,,
Kepler-52 c,0.164,0.14284,16.38500210,4075.00
Kepler-248 b,0.269,0.02950,6.30820500,5190.00
24 Sex b,1.190,1.99000,452.80000000,5098.00
24 Sex c,1.240,0.86000,883.00000000,5098.00
TOI-1937 A b,1.247,2.01000,0.94667944,5814.00
K2-174 b,0.232,0.02290,19.56230700,4455.00
K2-216 b,0.156,0.02517,2.17480000,4503.00
DENIS-P J082303.1-491201 b,1.060,28.50000,246.36000000,
HIP 63242 b,1.120,9.18000,124.60000000,4830.00
GJ 504 b,1.160,4.00000,,6234.00
2MASS J01225093-2439505 b,1.000,24.50000,,3530.00
RR Cae b,1.160,4.20000,4343.50000000,3904.00
HAT-P-68 b,1.072,0.72400,2.29840551,4508.00
2MASS J19383260+4603591 b,1.200,1.90000,406.00000000,29564.00
HAT-P-70 b,1.870,6.78000,2.74432452,8450.00
WASP-169 b,1.304,0.56100,5.61141180,6110.00
Kepler-25 b,0.245,0.02750,6.23829700,6103.00
Kepler-10 d,0.322,0.03990,151.04000000,5708.00
Kepler-20 e,0.073,0.00239,6.09848820,5495.00
HAT-P-26 b,0.630,0.07000,4.23452000,5079.00
WASP-193 b,1.464,0.13900,6.24633450,6078.00
Kepler-32 f,0.073,0.00150,0.74296000,3900.00
K2-317 b,0.261,0.02800,6.22000000,3387.00
HD 188641 b,1.060,29.36500,14583.81038000,5897.32
Kepler-102 b,0.041,0.00346,5.28696500,4909.00
WASP-63 b,1.410,0.37000,4.37808000,5715.00
TOI-2000 b,0.241,0.03470,3.09833000,5611.00
Kepler-20 d,0.232,0.04216,77.61145500,5495.00
TOI-2096 c,0.171,0.01360,6.38784000,3300.00
TOI-3807 b,1.650,1.04000,2.89897270,5772.00
Kepler-423 b,1.192,0.59500,2.68432850,5560.00
Kepler-411 d,0.296,0.04782,58.02035000,4987.00
TOI-1680 b,0.131,0.00865,4.80263450,3225.00
TOI-1075 b,0.160,0.03131,0.60473280,3875.00
HATS-15 b,1.105,2.17000,1.74748753,5311.00
GJ 3341 b,0.219,0.02080,14.20700000,3526.00
GJ 581 b,0.366,0.04970,5.36860000,3396.00
G 264-012 b,0.124,0.00787,2.30538000,3326.00
EPIC 201833600 c,0.089,0.00306,3.96151000,4292.67
EPIC 249893012 b,0.174,0.02753,3.59510000,5430.00
EPIC 249893012 c,0.327,0.04616,15.62400000,5430.00
GJ 3293 d,0.238,0.02391,48.13450000,3466.00
GJ 3998 c,0.212,0.01970,13.74000000,3722.00
